body_part_title,total_cases,high_severity_cases,high_severity_rate
" Finger or thumb tip(s), nail(s)",2127,2082.0,97.88
Fingertip(s),10387,10049.0,96.75
"Finger(s), fingernail(s), n.e.c.",8229,7620.0,92.6
 Other finger(s)  n.e.c.,2208,1796.0,81.34
"Hand(s), n.e.c.",201,150.0,74.63
 Thumb(s),350,238.0,68.0
"Finger(s), fingernail(s), unspecified",6801,3994.0,58.73
"Foot (feet), n.e.c.",187,96.0,51.34
"Toes(s), toenail(s)",956,481.0,50.31
" Toes(s), toenail(s)",195,89.0,45.64
Hand(s) and finger(s),205,23.0,11.22
"Lower extremities, unspecified",140,13.0,9.29
Forearm(s),1018,73.0,7.17
 Wrist(s),206,14.0,6.8
"Hand(s), unspecified",2394,154.0,6.43
