column_name,missing_count,missing_percentage
secondary_source_title,55381,52.58
latitude,70,0.07
longitude,70,0.07
city,17,0.02
zip_code,24,0.02
incident_id,0,0.0
event_year,0,0.0
event_date,0,0.0
state,0,0.0
employer,0,0.0
event_day_of_week,0,0.0
event_month,0,0.0
naics_2_digit,2,0.0
naics_3_digit,2,0.0
hospitalized_count,0,0.0
primary_naics,2,0.0
amputation_count,0,0.0
loss_of_eye_count,0,0.0
nature_title,0,0.0
high_severity_outcome,0,0.0
body_part_title,0,0.0
event_title,0,0.0
source_title,0,0.0
final_narrative,0,0.0
