source_title,cases
"Floor, n.e.c.",5029
"Forklift, order picker, platform truck-powered",3864
Nonclassifiable,2771
"Floors, walkways, ground surfaces, unspecified",2429
Heat-environmental,2197
 Other constructed surface,1837
"Machinery, unspecified",1619
"Ladders, unspecified",1354
"Movable ladders, unspecified",1311
Step ladders,1173
Pallet jack-powered,1130
"Semi, tractor-trailer, tanker truck",1034
"Truck-motorized freight hauling and utility, unspecified",896
"Roofs, unspecified",893
"Scaffolds-staging, unspecified",781
